iter	Passed	Remaining
0	22	13247
1	68	20338
2	115	23027
3	176	26359
4	222	26499
5	267	26530
6	300	25437
7	330	24479
8	377	24769
9	407	24071
10	440	23573
11	487	23903
12	533	24101
13	579	24245
14	625	24400
15	671	24495
16	717	24620
17	765	24735
18	810	24789
19	857	24865
20	904	24930
21	970	25490
22	1033	25915
23	1082	25970
24	1119	25738
25	1150	25395
26	1196	25383
27	1226	25058
28	1257	24763
29	1302	24753
30	1349	24771
31	1410	25038
32	1456	25027
33	1503	25026
34	1548	25002
35	1597	25024
36	1616	24602
37	1649	24391
38	1695	24394
39	1726	24174
40	1756	23952
41	1788	23763
42	1834	23760
43	1880	23765
44	1910	23567
45	1956	23564
46	2003	23570
47	2035	23404
48	2080	23397
49	2112	23233
50	2158	23236
51	2204	23236
52	2246	23189
53	2284	23102
54	2330	23090
55	2376	23081
56	2437	23221
57	2482	23200
58	2514	23054
59	2560	23040
60	2605	23026
61	2646	22967
62	2708	23089
63	2756	23081
64	2787	22943
65	2813	22767
66	2833	22543
67	2864	22411
68	2926	22522
69	2972	22505
70	3003	22381
71	3048	22356
72	3094	22338
73	3156	22436
74	3194	22360
75	3228	22261
76	3277	22260
77	3338	22341
78	3378	22283
79	3441	22369
80	3474	22264
81	3507	22157
82	3554	22140
83	3600	22117
84	3644	22080
85	3690	22058
86	3729	21992
87	3784	22016
88	3809	21871
89	3865	21902
90	3905	21842
91	3965	21894
92	4008	21851
93	4053	21820
94	4099	21793
95	4130	21684
96	4174	21647
97	4206	21546
98	4253	21525
99	4300	21500
100	4328	21387
101	4377	21371
102	4406	21264
103	4454	21242
104	4500	21217
105	4545	21181
106	4585	21126
107	4631	21099
108	4678	21074
109	4739	21112
110	4801	21154
111	4836	21072
112	4868	20980
113	4900	20893
114	4949	20871
115	4979	20775
116	5025	20744
117	5070	20712
118	5118	20687
119	5165	20661
120	5208	20620
121	5238	20523
122	5268	20431
123	5298	20339
124	5329	20252
125	5360	20167
126	5391	20079
127	5437	20048
128	5466	19960
129	5499	19881
130	5544	19849
131	5589	19816
132	5634	19785
133	5682	19762
134	5729	19735
135	5776	19707
136	5821	19672
137	5864	19632
138	5911	19605
139	5955	19569
140	5986	19488
141	6032	19457
142	6079	19428
143	6125	19396
144	6154	19313
145	6184	19231
146	6232	19205
147	6279	19177
148	6325	19147
149	6370	19112
150	6416	19078
151	6460	19040
152	6491	18966
153	6539	18940
154	6566	18851
155	6611	18817
156	6674	18832
157	6720	18799
158	6764	18761
159	6795	18686
160	6826	18615
161	6872	18581
162	6920	18553
163	6966	18521
164	7011	18485
165	7058	18453
166	7104	18421
167	7151	18388
168	7193	18346
169	7241	18316
170	7287	18282
171	7315	18202
172	7362	18171
173	7392	18099
174	7441	18072
175	7488	18040
176	7535	18008
177	7563	17931
178	7593	17860
179	7640	17827
180	7687	17796
181	7733	17760
182	7777	17721
183	7808	17652
184	7855	17622
185	7900	17585
186	7947	17551
187	7975	17478
188	8022	17446
189	8070	17415
190	8117	17382
191	8158	17336
192	8204	17300
193	8249	17264
194	8279	17196
195	8310	17129
196	8350	17082
197	8397	17048
198	8442	17011
199	8472	16944
200	8519	16912
201	8564	16874
202	8594	16808
203	8625	16743
204	8640	16649
205	8672	16587
206	8702	16523
207	8735	16463
208	8781	16428
209	8829	16396
210	8875	16362
211	8903	16295
212	8934	16233
213	8981	16201
214	9029	16168
215	9072	16129
216	9118	16093
217	9168	16065
218	9214	16030
219	9260	15995
220	9306	15959
221	9336	15896
222	9384	15864
223	9430	15829
224	9466	15777
225	9498	15718
226	9528	15656
227	9572	15619
228	9619	15585
229	9652	15528
230	9699	15493
231	9744	15457
232	9773	15393
233	9819	15358
234	9879	15344
235	9910	15285
236	9930	15209
237	9961	15151
238	10007	15115
239	10053	15080
240	10100	15045
241	10129	14985
242	10177	14951
243	10215	14904
244	10262	14869
245	10309	14836
246	10354	14798
247	10384	14739
248	10415	14682
249	10461	14646
250	10507	14610
251	10567	14592
252	10612	14556
253	10629	14479
254	10659	14421
255	10705	14386
256	10736	14329
257	10782	14292
258	10827	14255
259	10874	14221
260	10921	14185
261	10959	14138
262	10992	14084
263	11039	14050
264	11084	14012
265	11114	13955
266	11159	13917
267	11192	13864
268	11224	13811
269	11271	13776
270	11317	13739
271	11364	13704
272	11410	13667
273	11457	13631
274	11501	13592
275	11530	13535
276	11562	13482
277	11608	13445
278	11654	13409
279	11684	13353
280	11715	13299
281	11755	13256
282	11804	13222
283	11849	13185
284	11896	13148
285	11943	13112
286	11990	13076
287	12037	13040
288	12083	13003
289	12129	12966
290	12173	12926
291	12221	12891
292	12267	12853
293	12312	12815
294	12358	12777
295	12402	12737
296	12451	12702
297	12497	12665
298	12528	12611
299	12574	12574
300	12603	12519
301	12651	12484
302	12697	12446
303	12729	12394
304	12775	12356
305	12806	12304
306	12851	12265
307	12899	12229
308	12944	12190
309	12973	12136
310	13013	12092
311	13046	12043
312	13094	12006
313	13139	11967
314	13176	11921
315	13207	11869
316	13254	11832
317	13300	11794
318	13346	11756
319	13393	11718
320	13423	11666
321	13454	11615
322	13501	11578
323	13548	11541
324	13594	11502
325	13640	11464
326	13675	11416
327	13706	11366
328	13736	11314
329	13781	11275
330	13813	11226
331	13861	11189
332	13890	11137
333	13920	11086
334	13968	11049
335	13996	10997
336	14029	10948
337	14058	10897
338	14089	10847
339	14121	10798
340	14153	10749
341	14182	10699
342	14198	10638
343	14228	10588
344	14260	10540
345	14307	10503
346	14343	10458
347	14391	10421
348	14436	10382
349	14481	10343
350	14527	10305
351	14558	10257
352	14606	10220
353	14653	10182
354	14698	10144
355	14744	10105
356	14775	10057
357	14807	10009
358	14837	9960
359	14869	9912
360	14914	9874
361	14946	9826
362	14992	9788
363	15038	9750
364	15068	9701
365	15116	9664
366	15159	9624
367	15206	9586
368	15257	9551
369	15303	9512
370	15348	9473
371	15395	9435
372	15440	9396
373	15485	9357
374	15515	9309
375	15564	9272
376	15609	9233
377	15640	9185
378	15702	9156
379	15749	9118
380	15796	9079
381	15825	9031
382	15873	8993
383	15917	8953
384	15963	8914
385	15993	8866
386	16039	8828
387	16086	8789
388	16117	8742
389	16149	8695
390	16197	8658
391	16228	8610
392	16275	8572
393	16319	8532
394	16367	8494
395	16411	8454
396	16443	8408
397	16488	8368
398	16535	8329
399	16582	8291
400	16613	8244
401	16644	8197
402	16691	8159
403	16720	8111
404	16751	8065
405	16800	8027
406	16844	7987
407	16891	7948
408	16935	7908
409	16981	7869
410	17029	7831
411	17075	7791
412	17119	7751
413	17167	7712
414	17212	7672
415	17258	7633
416	17304	7593
417	17334	7547
418	17383	7509
419	17430	7470
420	17461	7424
421	17507	7384
422	17554	7345
423	17599	7305
424	17645	7265
425	17692	7226
426	17740	7187
427	17784	7147
428	17815	7101
429	17863	7062
430	17911	7023
431	17957	6983
432	18002	6943
433	18049	6903
434	18082	6858
435	18129	6819
436	18174	6779
437	18221	6739
438	18270	6700
439	18314	6659
440	18345	6614
441	18377	6569
442	18424	6529
443	18470	6489
444	18517	6449
445	18561	6409
446	18609	6369
447	18656	6329
448	18684	6283
449	18714	6238
450	18744	6192
451	18790	6152
452	18823	6108
453	18869	6068
454	18915	6027
455	18959	5987
456	19004	5946
457	19037	5902
458	19085	5862
459	19114	5817
460	19145	5772
461	19177	5728
462	19223	5688
463	19255	5643
464	19301	5603
465	19349	5564
466	19396	5524
467	19441	5483
468	19488	5443
469	19535	5403
470	19582	5363
471	19627	5322
472	19673	5282
473	19703	5237
474	19750	5197
475	19810	5160
476	19857	5120
477	19889	5076
478	19937	5036
479	19983	4995
480	20030	4955
481	20076	4915
482	20123	4874
483	20177	4835
484	20233	4797
485	20277	4756
486	20324	4715
487	20355	4671
